,Price,Title,Visitors,Beds,Bedrooms,Baths,Guest Favorite,Superhost,Review Index,Number of reviews,Host Name,Characteristics,Latitude,Longitude
0,€ 65 ,DoorMat#13 Black Mirror#Jacuzzi,2 guests · , · 1 bed · , · 1 bedroom · , · 1 bath,,,4.65,20 reviews,Hosted by Mario,"Self check-in, Great location, Great check-in experience",40.6282,22.9523
1,€ 55 ,"Elegant Suite In The Center, The Luxury Suites",4 guests · , · 2 beds · , · 1 bedroom · , · 1 bath,,,4.56,81 reviews,Hosted by Dimitris,"Self check-in, Great check-in experience, Free cancellation before March 31",40.63865,22.9376
2,€ 29 ,"Waterfront #11Design- CozyCityCenter ""Try It Tiny""",2 guests · , · 1 bed · , · 1 bedroom · , · 1 bath,,Superhost · ,4.70,551 reviews,Hosted by Alexandra,"Self check-in, Alexandra is a Superhost, Free cancellation before March 28",40.6318,22.9417
3,€ 40 ,Innovative Minimal Fresh suite in Ladadika,4 guests · , · 1 bed · , · 1 bedroom · , · 1 bath,,Superhost · ,4.89,101 reviews,Hosted by Innovation,"Self check-in, Innovation is a Superhost, Free cancellation before 2:00 PM on March 27",40.63672,22.93779
4,€ 57 ,* CK Modern Loft Near Seaside *,4 guests · , · 2 beds · , · 1 bedroom · , · 1 bath,"Guest
favorite",,5.0,18,Hosted by Κωνσταντίνος,"Self check-in, Great check-in experience, Highly rated Host",40.6053,22.9537
5,€ 46 ,ifestos By Socrates Junior Houses,3 guests · , · 1 bed · , · 1 bedroom · , · 1 bath,,Superhost · ,New,Show moreShow more. Open host profile.,Hosted by Socrates Junior Houses,"Self check-in, Socrates Junior Houses is a Superhost, Free cancellation before March 31",40.6431227,22.939386
6,€ 117 ,Skyline Suite&Spa,3 guests · , · 1 bed · , · 1 bedroom · , · 1 bath,"Guest
favorite",Superhost · ,5.0,37,Hosted by Anastasios-Vasileios,"Anastasios-Vasileios is a Superhost, Great location, Great check-in experience",40.6404933,22.9602335
7,€ 40 ,Star View Suite,2 guests · , · 1 bed · , · 1 bedroom · , · 1 bath,,Superhost · ,4.88,26 reviews,Hosted by Xenia,"Self check-in, Xenia is a Superhost, Great location",40.6343,22.9464
8,€ 89 ,Oasis - Luxurious studio in the heart of the city,3 guests · , · 2 beds · , · 1 bedroom · , · 1 bath,"Guest
favorite",Superhost · ,5.0,55,Hosted by Ioannis,"Great for remote work, Ioannis is a Superhost, Great location",40.6283,22.9482
9,€ 36 ,Escape ... in style // Downtown Seaside Gate_301,2 guests · , · 1 bed · , · 1 bedroom · , · 1 bath,,Superhost · ,4.77,340 reviews,Hosted by Mike,"Fast wifi, Self check-in, Free cancellation for 48 hours",40.63145,22.94071
10,€ 95 ,Suite Blanche by Aristotelous Square,4 guests · , · 3 beds · , · 1 bedroom · , · 1 bath,"Guest
favorite",,5.0,6,Hosted by Evripidis,"Fast wifi, Self check-in, Free cancellation before April 1",40.6324,22.942
11,€ 65 ,URBAN SEASIDE STUDIO,5 guests · , · 2 beds · , · 1 bedroom · , · 1 bath,"Guest
favorite",Superhost · ,4.93,301,Hosted by Elina,"Self check-in, Elina is a Superhost, Free cancellation before April 16",40.6318,22.9417
12,€ 103 ,City Center Luxury Penthouse,4 guests · , · 2 beds · , · 2 bedrooms · , · 2 baths,"Guest
favorite",Superhost · ,4.87,325,Hosted by Mara,"Mara is a Superhost, Great location, Free cancellation before April 4",40.63666,22.94144
13,€ 250 ,#Primavera: Seafront apt with White tower view,6 guests · , · 3 beds · , · 3 bedrooms · , · 1.5 baths,"Guest
favorite",,5.0,12,Hosted by Halu!,"Dedicated workspace, Great location, Free cancellation before April 15",40.62765,22.94725
14,€ 243 ,Aria: Lux seafront apt with White Tower view,4 guests · , · 2 beds · , · 2 bedrooms · , · 2 baths,,,5.0,4 reviews,Hosted by Halu!,"Dedicated workspace, Self check-in, Free cancellation before April 17",40.626394,22.9485903
15,€ 359 ,F & B Collection - Luxury Seafront 2 Bedroom Flat,4 guests · , · 2 beds · , · 2 bedrooms · , · 2 baths,"Guest
favorite",,5.0,6,Hosted by Dimitris,"Great location, Great check-in experience, Experienced host",40.6291439,22.9457213
16,€ 88 ,Mandarin by halu! : Street view apt,2 guests · , · 1 bed · , · 1 bedroom · , · 1 bath,,,5.0,8 reviews,Hosted by Halu!,"Great for remote work, Self check-in, Free cancellation before March 31",40.6287589,22.9450015
17,€ 49 ,"Adelle Studio #31, The Luxury Suites",3 guests · , · 2 beds · ,, · 1 bath,,,4.56,43 reviews,Hosted by The Luxury Suites,"Self check-in, Great communication, Free cancellation before 2:00 PM on March 27",40.63775,22.93937
18,€ 40 ,Welcome!,2 guests · , · 1 bed · , · 1 bedroom · , · 1 bath,"Guest
favorite",Superhost · ,4.93,185,Hosted by Danai,"Dedicated workspace, Danai is a Superhost, Free cancellation before May 11",40.63188,22.94318
19,€ 38 ,White tower city center loft 2,2 guests · , · 1 bed · , · 1 bedroom · , · 1 bath,,Superhost · ,4.71,58 reviews,Hosted by Hlias,"Great for remote work, Self check-in, Hlias is a Superhost",40.6276,22.9494
20,€ 50 ,G&G city center luxury studio 1-3 persons,3 guests · , · 2 beds · , · 1 bedroom · , · 1 bath,"Guest
favorite",Superhost · ,4.96,27,Hosted by Γεωργιος,"Great for remote work, Self check-in, Γεωργιος is a Superhost",40.6314,22.9427
21,€ 33 ,Waterfront #42Design - CozyCityCenter Flat,2 guests · , · 1 bed · , · 1 bedroom · , · 1 bath,"Guest
favorite",Superhost · ,4.81,601,Hosted by Alexandra,"Dedicated workspace, Self check-in, Free cancellation for 48 hours",40.6318,22.9416
22,€ 110 ,Veranda Residence,5 guests · , · 3 beds · , · 2 bedrooms · , · 1 bath,"Guest
favorite",Superhost · ,4.97,66,Hosted by Nancy,"Dedicated workspace, Self check-in, Free cancellation before April 2",40.63364,22.94892
23,€ 37 ,Carpe Diem SKG,2 guests · ,, · 1 bedroom · , · 1 bath,"Guest
favorite",Superhost · ,4.97,37,Hosted by Despoina,"Fast wifi, Self check-in, Free cancellation for 48 hours",40.6415,22.9361
24,€ 37 ,"V18 Boutique Rooms, Nilie Hospitality MGMT",2 guests · , · 1 bed · , · 1 bedroom · , · 1 bath,,,,1 review,Hosted by Nilie Premium Hospitality MGMT,"Self check-in, Experienced host",40.6431641,22.9341033
25,€ 67 ,Santa Sophia’s Elegant Pop Suite,2 guests · , · 1 bed · , · 1 bedroom · , · 1 bath,"Guest
favorite",Superhost · ,5.0,29,Hosted by Alexandros,"Great for remote work, Self check-in, Free cancellation before 2:00 PM on March 27",40.6333,22.9484
26,€ 50 ,Waterfront #41Design - CozyCityCenter Flat,4 guests · , · 2 beds · , · 1 bedroom · , · 1 bath,,Superhost · ,4.83,616 reviews,Hosted by Alexandra,"Dedicated workspace, Self check-in, Free cancellation for 48 hours",40.6318,22.9417
27,€ 36 ,L & G  studio in the center of the city,2 guests · , · 2 beds · ,, · 1 bath,"Guest
favorite",,4.89,214,Hosted by Λίνα,"Great location, Great check-in experience, Highly rated Host",40.63684,22.95163
28,€ 80 ,Waterfront Flat with 180° Sea View,3 guests · , · 2 beds · , · 1 bedroom · , · 1 bath,,Superhost · ,4.91,228 reviews,Hosted by Elena,"Dedicated workspace, Self check-in, Free cancellation for 48 hours",40.5076,22.9201
29,€ 81 ,Innovative upscale 2-BR flat in premium location,4 guests · , · 2 beds · , · 2 bedrooms · , · 1 bath,"Guest
favorite",Superhost · ,4.97,91,Hosted by Innovation,"Self check-in, Innovation is a Superhost, Great location",40.6303,22.9452
30,€ 44 ,Hidden Island Oasis near the city center,3 guests · , · 1 bed · , · 1 bedroom · , · 1 bath,"Guest
favorite",,4.93,45,Hosted by Vasilis,"Self check-in, Highly rated Host, Free cancellation before 2:00 PM on March 27",40.61918,22.95547
31,€ 66 ,Lavish Residences - Agias Sofias,3 guests · , · 2 beds · , · 1 bedroom · , · 1 bath,"Guest
favorite",,4.96,24,Hosted by Lavish Elegance And Luxury Lifestyle,"Self check-in, Great location, Great check-in experience",40.632,22.9449
32,€ 49 ,Sky roof apartments#1,3 guests · , · 1 bed · ,, · 1 bath,,Superhost · ,4.73,321 reviews,Hosted by Fani,"Self check-in, Fani is a Superhost, Free cancellation before April 17",40.63398,22.9396
33,€ 85 ,Innovative top floor breathtaking flat in Ladadika,4 guests · , · 2 beds · , · 1 bedroom · , · 1 bath,,Superhost · ,4.90,105 reviews,Hosted by Innovation,"Self check-in, Innovation is a Superhost, Free cancellation before May 6",40.63683,22.93844
